RS,Código_IBGE,Município_sem_Código,Município_com_Código,População,Cod_RS
1,410120,ANTONINA,410120 Antonina,18919,1355
1,410950,GUARAQUEÇABA,410950 Guaraqueçaba,7554,1355
1,410960,GUARATUBA,410960 Guaratuba,37974,1355
1,411570,MATINHOS,411570 Matinhos,35705,1355
1,411620,MORRETES,411620 Morretes,16485,1355
1,411820,PARANAGUÁ,411820 Paranaguá,157378,1355
1,411995,PONTAL DO PARANÁ,411995 Pontal do Paraná,28529,1355
2,410020,ADRIANÓPOLIS,410020 Adrianópolis,5797,1356
2,410030,AGUDOS DO SUL,410030 Agudos do Sul,9567,1356
2,410040,ALMIRANTE TAMANDARÉ,410040 Almirante Tamandaré,121420,1356
2,410180,ARAUCÁRIA,410180 Araucária,148522,1356
2,410230,BALSA NOVA,410230 Balsa Nova,13238,1356
2,410310,BOCAIÚVA DO SUL,410310 Bocaiúva do Sul,13308,1356
2,410400,CAMPINA GRANDE DO SUL,410400 Campina Grande do Sul,44072,1356
2,410410,CAMPO DO TENENTE,410410 Campo do Tenente,8118,1356
2,410420,CAMPO LARGO,410420 Campo Largo,135678,1356
2,410425,CAMPO MAGRO,410425 Campo Magro,30151,1356
2,410520,CERRO AZUL,410520 Cerro Azul,17884,1356
2,410580,COLOMBO,410580 Colombo,249277,1356
2,410620,CONTENDA,410620 Contenda,19082,1356
2,410690,CURITIBA,410690 Curitiba,1963726,1356
2,412863,DOUTOR ULYSSES,412863 Doutor Ulysses,5525,1356
2,410765,FAZENDA RIO GRANDE,410765 Fazenda Rio Grande,103750,1356
2,411125,ITAPERUÇU,411125 Itaperuçu,29493,1356
2,411320,LAPA,411320 Lapa,48651,1356
2,411430,MANDIRITUBA,411430 Mandirituba,27750,1356
2,411910,PIÊN,411910 Piên,13015,1356
2,411915,PINHAIS,411915 Pinhais,134788,1356
2,411950,PIRAQUARA,411950 Piraquara,116852,1356
2,412080,QUATRO BARRAS,412080 Quatro Barras,24253,1356
2,412120,QUITANDINHA,412120 Quitandinha,19388,1356
2,412220,RIO BRANCO DO SUL,412220 Rio Branco do Sul,32635,1356
2,412230,RIO NEGRO,412230 Rio Negro,34645,1356
2,412550,SÃO JOSÉ DOS PINHAIS,412550 São José dos Pinhais,334620,1356
