UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,2,Leste Rondoniense,6,Cacoal,15,110001,ALTA FLORESTA D'OESTE
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,2,Leste Rondoniense,6,Cacoal,379,110037,ALTO ALEGRE DOS PARECIS
11,Rondônia,1101,Porto Velho,110002,Ariquemes,2,Leste Rondoniense,3,Ariquemes,403,110040,ALTO PARAÍSO
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,2,Leste Rondoniense,5,Alvorada D'Oeste,346,110034,ALVORADA D'OESTE
11,Rondônia,1101,Porto Velho,110002,Ariquemes,2,Leste Rondoniense,3,Ariquemes,23,110002,ARIQUEMES
11,Rondônia,1101,Porto Velho,110002,Ariquemes,1,Madeira-Guaporé,1,Porto Velho,452,110045,BURITIS
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,2,Leste Rondoniense,8,Colorado do Oeste,31,110003,CABIXI
11,Rondônia,1101,Porto Velho,110002,Ariquemes,2,Leste Rondoniense,3,Ariquemes,601,110060,CACAULÂNDIA
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,2,Leste Rondoniense,6,Cacoal,49,110004,CACOAL
11,Rondônia,1101,Porto Velho,110002,Ariquemes,1,Madeira-Guaporé,1,Porto Velho,700,110070,CAMPO NOVO DE RONDÔNIA
11,Rondônia,1101,Porto Velho,110001,Porto Velho,1,Madeira-Guaporé,1,Porto Velho,809,110080,CANDEIAS DO JAMARI
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,2,Leste Rondoniense,6,Cacoal,908,110090,CASTANHEIRAS
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,2,Leste Rondoniense,8,Colorado do Oeste,56,110005,CEREJEIRAS
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,2,Leste Rondoniense,7,Vilhena,924,110092,CHUPINGUAIA
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,2,Leste Rondoniense,8,Colorado do Oeste,64,110006,COLORADO DO OESTE
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,2,Leste Rondoniense,8,Colorado do Oeste,72,110007,CORUMBIARA
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,1,Madeira-Guaporé,2,Guajará-Mirim,80,110008,COSTA MARQUES
11,Rondônia,1101,Porto Velho,110002,Ariquemes,1,Madeira-Guaporé,1,Porto Velho,940,110094,CUJUBIM
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,2,Leste Rondoniense,6,Cacoal,98,110009,ESPIGÃO D'OESTE
11,Rondônia,1101,Porto Velho,110003,Jaru,2,Leste Rondoniense,4,Ji-Paraná,1005,110100,GOVERNADOR JORGE TEIXEIRA
